,Ranking,Movie Names,Year,Rating
225,248,Beauty and the Beast,1991,8.0
226,127,Batman Begins,2005,8.2
227,194,Barry Lyndon,1975,8.1
228,30,Back to the Future,1985,8.5
229,179,Bacheha-Ye aseman,1997,8.1
230,237,Babam ve Oglum,2005,8.0
231,65,Avengers: Infinity War,2018,8.4
232,81,Avengers: Endgame,2019,8.3
233,54,Apocalypse Now,1979,8.4
234,234,Amores perros,2000,8.0
235,37,American History X,1998,8.5
236,67,American Beauty,1999,8.3
237,74,Amadeus,1984,8.3
238,132,All About Eve,1950,8.2
239,66,Aliens,1986,8.3
240,50,Alien,1979,8.4
241,246,Aladdin,1992,8.0
242,244,Ah-ga-ssi,2016,8.0
243,102,A Clockwork Orange,1971,8.2
244,142,A Beautiful Mind,2001,8.2
245,88,3 Idiots,2009,8.3
246,89,2001: A Space Odyssey,1968,8.3
247,123,1917,2019,8.2
248,183,12 Years a Slave,2013,8.1
249,5,12 Angry Men,1957,8.9
